skill1,skill2,similarity
Ordering Positive Decimals,Multiplication and Division Positive Decimals,1.0000000000000002
Write Linear Equation from Graph,Solving Systems of Linear Equations by Graphing,1.0000000000000002
Multiplication Whole Numbers,Scale Factor,1.0
Divisibility Rules,Recognize Quadratic Pattern,1.0
Divisibility Rules,Recognize Linear Pattern,1.0
Divisibility Rules,Pattern Finding ,1.0
Scale Factor,Polynomial Factors,1.0
Scale Factor,Greatest Common Factor,1.0
Scale Factor,Multiplication and Division Integers,1.0
Write Linear Equation from Ordered Pairs,Write Linear Equation from Situation,1.0
Scale Factor,Prime Number,1.0
Prime Number,Multiplication and Division Integers,1.0
Finding Percents,Percents,1.0
Finding Percents,Percent Discount,1.0
Write Linear Equation from Ordered Pairs,Finding Slope From Equation,1.0
Write Linear Equation from Ordered Pairs,Solving Systems of Linear Equations,1.0
Write Linear Equation from Ordered Pairs,Quadratic Formula to Solve Quadratic Equation,1.0
Write Linear Equation from Ordered Pairs,"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable",1.0
Percent Of,Percents,1.0
Greatest Common Factor,Polynomial Factors,1.0
Prime Number,Polynomial Factors,1.0
Prime Number,Greatest Common Factor,1.0
Percent Of,Finding Percents,1.0
Linear Equations,Write Linear Equation from Ordered Pairs,1.0
Linear Equations,Equation Solving More Than Two Steps,1.0
Linear Equations,Equation Solving Two or Fewer Steps,1.0
Choose an Equation from Given Information,Solving for a variable,1.0
Choose an Equation from Given Information,"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable",1.0
Choose an Equation from Given Information,Quadratic Formula to Solve Quadratic Equation,1.0
Choose an Equation from Given Information,Solving Systems of Linear Equations,1.0
Choose an Equation from Given Information,Finding Slope From Equation,1.0
Choose an Equation from Given Information,Write Linear Equation from Situation,1.0
Choose an Equation from Given Information,Write Linear Equation from Ordered Pairs,1.0
Choose an Equation from Given Information,Equation Solving More Than Two Steps,1.0
Choose an Equation from Given Information,Equation Solving Two or Fewer Steps,1.0
Choose an Equation from Given Information,Linear Equations,1.0
Pattern Finding ,Recognize Quadratic Pattern,1.0
Pattern Finding ,Recognize Linear Pattern,1.0
Percent Of,Percent Discount,1.0
Multiplication Whole Numbers,Polynomial Factors,1.0
Linear Equations,Finding Slope From Equation,1.0
Multiplication Whole Numbers,Greatest Common Factor,1.0
Equation Solving Two or Fewer Steps,Write Linear Equation from Ordered Pairs,1.0
Ordering Integers,Scale Factor,1.0
Ordering Integers,Multiplication Whole Numbers,1.0
Ordering Fractions,Order of Operations All,1.0
Ordering Fractions,Multiplication Fractions,1.0
Ordering Fractions,Fraction Of,1.0
Ordering Fractions,Division Fractions,1.0
Equivalent Fractions,Order of Operations All,1.0
Equivalent Fractions,Multiplication Fractions,1.0
Equivalent Fractions,Fraction Of,1.0
Equivalent Fractions,Division Fractions,1.0
Equivalent Fractions,Ordering Fractions,1.0
Finding Slope From Equation,Solving Systems of Linear Equations,1.0
Finding Slope From Equation,Quadratic Formula to Solve Quadratic Equation,1.0
Finding Slope From Equation,"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable",1.0
Recognize Linear Pattern,Recognize Quadratic Pattern,1.0
Ordering Integers,Multiplication and Division Integers,1.0
Ordering Integers,Greatest Common Factor,1.0
Division Fractions,Order of Operations All,1.0
